ano,sigla_uf,rede,ensino,ano_escolar,taxa_aprovacao
2005,CE,privada,fundamental,5,96.9
2005,CE,privada,fundamental,6,94.2
2005,CE,privada,fundamental,7,93.4
2005,CE,privada,fundamental,8,93.1
2005,CE,privada,fundamental,9,92.5
2005,CE,privada,medio,1,89.2
2005,CE,privada,medio,2,91.9
2005,CE,privada,medio,3,95.7
2005,CE,privada,medio,4,100
2005,CE,publica,fundamental,1,87.7
2005,CE,publica,fundamental,2,75.9
2005,CE,publica,fundamental,3,78.3
2005,CE,publica,fundamental,4,78.9
2005,CE,publica,fundamental,5,80
2005,CE,publica,fundamental,6,69.3
2005,CE,publica,fundamental,7,74
2005,CE,publica,fundamental,8,77.1
2005,CE,publica,fundamental,9,78.1
2005,CE,total,fundamental,1,87.7
2005,CE,total,fundamental,2,78.7
2005,CE,total,fundamental,3,80.9
2005,CE,total,fundamental,4,81.3
2005,CE,total,fundamental,5,82.1
2005,CE,total,fundamental,6,71.8
2005,CE,total,fundamental,7,76
2005,CE,total,fundamental,8,78.9
2005,CE,total,fundamental,9,79.7
2005,CE,total,medio,1,64.8
2005,CE,total,medio,2,75.5
2005,CE,total,medio,3,82.3
2005,CE,total,medio,4,88.9
2005,DF,estadual,fundamental,1,96.4
2005,DF,estadual,fundamental,2,80.6
2005,DF,estadual,fundamental,3,82.6
2005,DF,estadual,fundamental,4,84.5
2005,DF,estadual,fundamental,5,88.1
2005,DF,estadual,fundamental,6,63.3
2005,DF,estadual,fundamental,7,69.6
2005,DF,estadual,fundamental,8,72.8
2005,DF,estadual,fundamental,9,70.5
2005,DF,estadual,medio,1,56.4
2005,DF,estadual,medio,2,67.3
2005,DF,estadual,medio,3,71.7
2005,DF,estadual,medio,4,
2005,DF,privada,fundamental,1,99.5
2005,DF,privada,fundamental,2,98.4
2005,DF,privada,fundamental,3,99
2005,DF,privada,fundamental,4,99
2005,DF,privada,fundamental,5,98.6
2005,DF,privada,fundamental,6,95.8
2005,DF,privada,fundamental,7,95.3
2005,DF,privada,fundamental,8,95.1
2005,DF,privada,fundamental,9,94
2005,DF,privada,medio,1,91
2005,DF,privada,medio,2,94.7
2005,DF,privada,medio,3,94.9
2005,DF,privada,medio,4,
2005,DF,publica,fundamental,1,96.4
2005,DF,publica,fundamental,2,80.6
2005,DF,publica,fundamental,3,82.6
2005,DF,publica,fundamental,4,84.5
2005,DF,publica,fundamental,5,88.1
2005,DF,publica,fundamental,6,76.1
2005,DF,publica,fundamental,7,77.1
2005,DF,publica,fundamental,8,78.1
2005,DF,publica,fundamental,9,78.2
2005,DF,total,fundamental,1,96.6
2005,DF,total,fundamental,2,84.3
2005,DF,total,fundamental,3,86
2005,DF,total,fundamental,4,87.6
2005,DF,total,fundamental,5,90.3
2005,DF,total,fundamental,6,69.4
2005,DF,total,fundamental,7,75.4
2005,DF,total,fundamental,8,78.1
2005,DF,total,fundamental,9,76.3
2005,DF,total,medio,1,63.7
2005,DF,total,medio,2,73.7
2005,DF,total,medio,3,77.3
2005,DF,total,medio,4,
2005,ES,estadual,fundamental,1,
2005,ES,estadual,fundamental,2,75.5
2005,ES,estadual,fundamental,3,69.9
2005,ES,estadual,fundamental,4,82.6
2005,ES,estadual,fundamental,5,87.4
2005,ES,estadual,fundamental,6,76.1
2005,ES,estadual,fundamental,7,77.9
2005,ES,estadual,fundamental,8,79.1
2005,ES,estadual,fundamental,9,76.2
2005,ES,estadual,medio,1,63.3
2005,ES,estadual,medio,2,72.9
2005,ES,estadual,medio,3,80.1
2005,ES,estadual,medio,4,
2005,ES,privada,fundamental,1,
2005,ES,privada,fundamental,2,98
2005,ES,privada,fundamental,3,99
2005,ES,privada,fundamental,4,99
2005,ES,privada,fundamental,5,98.8
2005,ES,privada,fundamental,6,96
2005,ES,privada,fundamental,7,95.3
2005,ES,privada,fundamental,8,95.5
2005,ES,privada,fundamental,9,93.9
2005,ES,privada,medio,1,90.9
2005,ES,privada,medio,2,94.4
2005,ES,privada,medio,3,98.5
2005,ES,privada,medio,4,100
2005,ES,publica,fundamental,1,97.2
2005,ES,publica,fundamental,2,78.7
2005,ES,publica,fundamental,3,76.2
2005,ES,publica,fundamental,4,85
2005,ES,publica,fundamental,5,88.9
2005,ES,publica,fundamental,6,75.5
2005,ES,publica,fundamental,7,77.7
2005,ES,publica,fundamental,8,78.5
2005,ES,publica,fundamental,9,80.3
2005,ES,total,fundamental,1,97.2
2005,ES,total,fundamental,2,80.9
2005,ES,total,fundamental,3,78.5
2005,ES,total,fundamental,4,86.5
2005,ES,total,fundamental,5,90
2005,ES,total,fundamental,6,77.7
2005,ES,total,fundamental,7,79.8
2005,ES,total,fundamental,8,80.8
2005,ES,total,fundamental,9,82.2
2005,ES,total,medio,1,67.8
2005,ES,total,medio,2,76.8
2005,ES,total,medio,3,83.8
2005,ES,total,medio,4,100
2005,GO,estadual,fundamental,1,94.3
2005,GO,estadual,fundamental,2,85.3
2005,GO,estadual,fundamental,3,87.4
2005,GO,estadual,fundamental,4,89.3
2005,GO,estadual,fundamental,5,90.4
2005,GO,estadual,fundamental,6,76.7
2005,GO,estadual,fundamental,7,77.8
2005,GO,estadual,fundamental,8,78.8
2005,GO,estadual,fundamental,9,78.1
2005,GO,estadual,medio,1,66.9
2005,GO,estadual,medio,2,76.3
2005,GO,estadual,medio,3,82.7
2005,GO,estadual,medio,4,71.7
2005,GO,privada,fundamental,1,96.8
2005,GO,privada,fundamental,2,96.9
2005,GO,privada,fundamental,3,97.2
2005,GO,privada,fundamental,4,97.2
2005,GO,privada,fundamental,5,97.3
2005,GO,privada,fundamental,6,94.2
2005,GO,privada,fundamental,7,93.2
2005,GO,privada,fundamental,8,93.5
2005,GO,privada,fundamental,9,94.7
2005,GO,privada,medio,1,87.2
2005,GO,privada,medio,2,92.2
2005,GO,privada,medio,3,94.2
2005,GO,privada,medio,4,100
2005,GO,publica,fundamental,1,92
