ano,rede,ensino,ano_escolar,taxa_aprovacao
2013,estadual,fundamental,8,86.3
2013,estadual,fundamental,9,85.2
2013,estadual,medio,1,70.9
2013,estadual,medio,2,79.9
2013,estadual,medio,3,86.4
2013,estadual,medio,4,87.3
2013,municipal,fundamental,1,97.2
2013,municipal,fundamental,2,94.8
2013,municipal,fundamental,3,85.8
2013,municipal,fundamental,4,89.4
2013,municipal,fundamental,5,89.4
2013,municipal,fundamental,6,77
2013,municipal,fundamental,7,80.8
2013,municipal,fundamental,8,84.7
2013,municipal,fundamental,9,88.3
2013,privada,fundamental,1,97.5
2013,privada,fundamental,2,97.9
2013,privada,fundamental,3,98
2013,privada,fundamental,4,98
2013,privada,fundamental,5,97.8
2013,privada,fundamental,6,95.1
2013,privada,fundamental,7,94.2
2013,privada,fundamental,8,94.6
2013,privada,fundamental,9,94.6
2013,privada,medio,1,90.1
2013,privada,medio,2,94.6
2013,privada,medio,3,97.4
2013,privada,medio,4,89.6
2013,publica,fundamental,1,97.4
2013,publica,fundamental,2,95.3
2013,publica,fundamental,3,86.8
2013,publica,fundamental,4,90.4
2013,publica,fundamental,5,90.1
2013,publica,fundamental,6,80.3
2013,publica,fundamental,7,83.1
2013,publica,fundamental,8,85.6
2013,publica,fundamental,9,86.5
2013,publica,medio,1,71
2013,publica,medio,2,80.1
2013,publica,medio,3,86.5
2013,publica,medio,4,87.9
2013,total,fundamental,1,97.4
2013,total,fundamental,2,95.8
2013,total,fundamental,3,88.5
2013,total,fundamental,4,91.6
2013,total,fundamental,5,91.2
2013,total,fundamental,6,82.2
2013,total,fundamental,7,84.5
2013,total,fundamental,8,86.8
2013,total,fundamental,9,87.6
2013,total,medio,1,73.2
2013,total,medio,2,82
2013,total,medio,3,88
2013,total,medio,4,88
2015,estadual,fundamental,1,98.5
2015,estadual,fundamental,2,98.1
2015,estadual,fundamental,3,90.6
2015,estadual,fundamental,4,94.6
2015,estadual,fundamental,5,93.6
2015,estadual,fundamental,6,83.7
2015,estadual,fundamental,7,84.7
2015,estadual,fundamental,8,86.6
2015,estadual,fundamental,9,86.1
2015,estadual,medio,1,72.3
2015,estadual,medio,2,81.8
2015,estadual,medio,3,88
2015,estadual,medio,4,86.4
2015,municipal,fundamental,1,97.6
2015,municipal,fundamental,2,96.1
2015,municipal,fundamental,3,85.9
2015,municipal,fundamental,4,89.6
2015,municipal,fundamental,5,90.3
2015,municipal,fundamental,6,78.2
2015,municipal,fundamental,7,81
2015,municipal,fundamental,8,85.3
2015,municipal,fundamental,9,89.3
2015,privada,fundamental,1,97.8
2015,privada,fundamental,2,98.2
2015,privada,fundamental,3,98.2
2015,privada,fundamental,4,98.2
2015,privada,fundamental,5,98.1
2015,privada,fundamental,6,95.8
2015,privada,fundamental,7,95
2015,privada,fundamental,8,95.3
2015,privada,fundamental,9,95.2
2015,privada,medio,1,91
2015,privada,medio,2,95.2
2015,privada,medio,3,97.8
2015,privada,medio,4,95.3
2015,publica,fundamental,1,97.7
2015,publica,fundamental,2,96.4
2015,publica,fundamental,3,86.7
2015,publica,fundamental,4,90.5
2015,publica,fundamental,5,91
2015,publica,fundamental,6,80.8
2015,publica,fundamental,7,82.8
2015,publica,fundamental,8,86
2015,publica,fundamental,9,87.5
2015,publica,medio,1,72.5
2015,publica,medio,2,81.9
2015,publica,medio,3,88.1
2015,publica,medio,4,87.4
2015,total,fundamental,1,97.7
2015,total,fundamental,2,96.8
2015,total,fundamental,3,88.5
2015,total,fundamental,4,91.7
2015,total,fundamental,5,92.1
2015,total,fundamental,6,82.9
2015,total,fundamental,7,84.6
2015,total,fundamental,8,87.3
2015,total,fundamental,9,88.6
2015,total,medio,1,74.6
2015,total,medio,2,83.6
2015,total,medio,3,89.5
2015,total,medio,4,87.7
2017,estadual,fundamental,1,98.7
2017,estadual,fundamental,2,98.4
2017,estadual,fundamental,3,91.3
2017,estadual,fundamental,4,95.8
2017,estadual,fundamental,5,94.8
2017,estadual,fundamental,6,85.5
2017,estadual,fundamental,7,86.8
2017,estadual,fundamental,8,88
2017,estadual,fundamental,9,87
2017,estadual,medio,1,74.1
2017,estadual,medio,2,82.9
2017,estadual,medio,3,89.2
2017,estadual,medio,4,83.5
2017,municipal,fundamental,1,97.8
2017,municipal,fundamental,2,96.6
2017,municipal,fundamental,3,87
2017,municipal,fundamental,4,90.8
2017,municipal,fundamental,5,91.5
2017,municipal,fundamental,6,79.9
2017,municipal,fundamental,7,82.8
2017,municipal,fundamental,8,86.5
2017,municipal,fundamental,9,90
2017,privada,fundamental,1,98.3
2017,privada,fundamental,2,98.7
2017,privada,fundamental,3,98.5
2017,privada,fundamental,4,98.6
2017,privada,fundamental,5,98.6
2017,privada,fundamental,6,96.9
2017,privada,fundamental,7,96.3
2017,privada,fundamental,8,96.5
2017,privada,fundamental,9,96.3
2017,privada,medio,1,92.9
2017,privada,medio,2,96.2
2017,privada,medio,3,98.3
2017,privada,medio,4,94.8
2017,publica,fundamental,1,97.9
2017,publica,fundamental,2,96.9
2017,publica,fundamental,3,87.7
2017,publica,fundamental,4,91.7
2017,publica,fundamental,5,92.1
2017,publica,fundamental,6,82.4
2017,publica,fundamental,7,84.8
2017,publica,fundamental,8,87.3
2017,publica,fundamental,9,88.4
2017,publica,medio,1,74.3
2017,publica,medio,2,83.1
2017,publica,medio,3,89.3
2017,publica,medio,4,84.9
2017,total,fundamental,1,98
2017,total,fundamental,2,97.2
2017,total,fundamental,3,89.5
2017,total,fundamental,4,92.8
2017,total,fundamental,5,93.1
2017,total,fundamental,6,84.5
2017,total,fundamental,7,86.5
2017,total,fundamental,8,88.7
2017,total,fundamental,9,89.6
2017,total,medio,1,76.4
2017,total,medio,2,84.7
2017,total,medio,3,90.5
2017,total,medio,4,85.2
2019,estadual,fundamental,1,99
2019,estadual,fundamental,2,98.7
2019,estadual,fundamental,3,92.5
2019,estadual,fundamental,4,96.7
2019,estadual,fundamental,5,95.4
2019,estadual,fundamental,6,89.2
2019,estadual,fundamental,7,89.6
2019,estadual,fundamental,8,90.8
2019,estadual,fundamental,9,90.4
2019,estadual,medio,1,78.5
2019,estadual,medio,2,85.8
2019,estadual,medio,3,91.5
2019,estadual,medio,4,86.6
2019,municipal,fundamental,1,98.3
2019,municipal,fundamental,2,96.9
2019,municipal,fundamental,3,89.3
2019,municipal,fundamental,4,92.4
2019,municipal,fundamental,5,93.5
2019,municipal,fundamental,6,83.7
2019,municipal,fundamental,7,85.9
2019,municipal,fundamental,8,88.9
2019,municipal,fundamental,9,92.7
2019,privada,fundamental,1,98.7
2019,privada,fundamental,2,99
2019,privada,fundamental,3,98.8
2019,privada,fundamental,4,98.9
2019,privada,fundamental,5,98.8
2019,privada,fundamental,6,97.4
2019,privada,fundamental,7,97
2019,privada,fundamental,8,97.1
2019,privada,fundamental,9,97.1
2019,privada,medio,1,94
2019,privada,medio,2,96.8
2019,privada,medio,3,98.6
2019,privada,medio,4,97.4
2019,publica,fundamental,1,98.4
2019,publica,fundamental,2,97.2
2019,publica,fundamental,3,89.8
2019,publica,fundamental,4,93.1
2019,publica,fundamental,5,93.8
2019,publica,fundamental,6,86.2
2019,publica,fundamental,7,87.7
2019,publica,fundamental,8,89.9
2019,publica,fundamental,9,91.5
2019,publica,medio,1,78.7
2019,publica,medio,2,85.9
2019,publica,medio,3,91.6
2019,publica,medio,4,88.5
2019,total,fundamental,1,98.5
2019,total,fundamental,2,97.5
2019,total,fundamental,3,91.4
2019,total,fundamental,4,94.1
2019,total,fundamental,5,94.7
2019,total,fundamental,6,87.9
2019,total,fundamental,7,89.1
2019,total,fundamental,8,91
2019,total,fundamental,9,92.3
2019,total,medio,1,80.5
2019,total,medio,2,87.3
2019,total,medio,3,92.5
2019,total,medio,4,88.9
