ano,regiao,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,Sul,estadual,fundamental,finais (6-9),87.7,0.87780702,266.27,262.42,5.4784999,4.8,5.3
2019,Sul,estadual,fundamental,iniciais (1-5),93.1,0.93236202,227.25,218.03,6.2708611,5.8,6.1
2019,Sul,estadual,medio,todos (1-4),81.8,0.84731501,280.89,280.85,4.8392301,4.1,5
2019,Sul,privada,fundamental,finais (6-9),97.6,0.97574002,313.11,300.16,6.888,6.7,7.3
2019,Sul,privada,fundamental,iniciais (1-5),99.1,0.99059498,264.23,246.69,7.4987888,7.4,7.5
2019,Sul,privada,medio,todos (1-4),96.6,0.97221398,345.07,327.86,6.4443769,6.3,7.1
2019,Sul,publica,fundamental,finais (6-9),87.6,0.87683499,267.32,263.7,5.5171671,4.8,5.4
2019,Sul,publica,fundamental,iniciais (1-5),94.8,0.94769698,235.28,222.28,6.5017939,6.2,6.1
2019,Sul,total,fundamental,finais (6-9),88.9,0.88942999,273.69,268.76,5.7075,5.1,5.6
2019,Sul,total,fundamental,iniciais (1-5),95.4,0.95352,238.86,225.21,6.6233139,6.3,6.3
2019,Sul,total,medio,todos (1-4),84,0.862755,291.72,288.76,5.1096091,4.4,5.3
2021,Centro-Oeste,estadual,fundamental,finais (6-9),,,,,,,5.2
2021,Centro-Oeste,estadual,fundamental,iniciais (1-5),,,,,,,6.1
2021,Centro-Oeste,estadual,medio,todos (1-4),,,,,,,4.7
2021,Centro-Oeste,privada,fundamental,finais (6-9),,,,,,,7.1
2021,Centro-Oeste,privada,fundamental,iniciais (1-5),,,,,,,7.5
2021,Centro-Oeste,privada,medio,todos (1-4),,,,,,,7.1
2021,Centro-Oeste,publica,fundamental,finais (6-9),,,,,,,5.2
2021,Centro-Oeste,publica,fundamental,iniciais (1-5),,,,,,,6
2021,Centro-Oeste,total,fundamental,finais (6-9),,,,,,,5.4
2021,Centro-Oeste,total,fundamental,iniciais (1-5),,,,,,,6.2
2021,Centro-Oeste,total,medio,todos (1-4),,,,,,,5.2
2021,Nordeste,estadual,fundamental,finais (6-9),,,,,,,4.6
2021,Nordeste,estadual,fundamental,iniciais (1-5),,,,,,,5.2
2021,Nordeste,estadual,medio,todos (1-4),,,,,,,4.5
2021,Nordeste,privada,fundamental,finais (6-9),,,,,,,7
2021,Nordeste,privada,fundamental,iniciais (1-5),,,,,,,7.2
2021,Nordeste,privada,medio,todos (1-4),,,,,,,6.7
2021,Nordeste,publica,fundamental,finais (6-9),,,,,,,4.6
2021,Nordeste,publica,fundamental,iniciais (1-5),,,,,,,4.9
2021,Nordeste,total,fundamental,finais (6-9),,,,,,,4.9
2021,Nordeste,total,fundamental,iniciais (1-5),,,,,,,5.2
2021,Nordeste,total,medio,todos (1-4),,,,,,,4.9
2021,Norte,estadual,fundamental,finais (6-9),,,,,,,5.1
2021,Norte,estadual,fundamental,iniciais (1-5),,,,,,,5.5
2021,Norte,estadual,medio,todos (1-4),,,,,,,4.5
2021,Norte,privada,fundamental,finais (6-9),,,,,,,7
2021,Norte,privada,fundamental,iniciais (1-5),,,,,,,7.3
2021,Norte,privada,medio,todos (1-4),,,,,,,6.6
2021,Norte,publica,fundamental,finais (6-9),,,,,,,5.1
2021,Norte,publica,fundamental,iniciais (1-5),,,,,,,5.2
2021,Norte,total,fundamental,finais (6-9),,,,,,,5.2
2021,Norte,total,fundamental,iniciais (1-5),,,,,,,5.3
2021,Norte,total,medio,todos (1-4),,,,,,,4.7
2021,Sudeste,estadual,fundamental,finais (6-9),,,,,,,5.6
2021,Sudeste,estadual,fundamental,iniciais (1-5),,,,,,,6.6
2021,Sudeste,estadual,medio,todos (1-4),,,,,,,5.1
2021,Sudeste,privada,fundamental,finais (6-9),,,,,,,7.5
2021,Sudeste,privada,fundamental,iniciais (1-5),,,,,,,7.8
2021,Sudeste,privada,medio,todos (1-4),,,,,,,7.1
2021,Sudeste,publica,fundamental,finais (6-9),,,,,,,5.6
2021,Sudeste,publica,fundamental,iniciais (1-5),,,,,,,6.5
2021,Sudeste,total,fundamental,finais (6-9),,,,,,,5.9
2021,Sudeste,total,fundamental,iniciais (1-5),,,,,,,6.6
2021,Sudeste,total,medio,todos (1-4),,,,,,,5.4
2021,Sul,estadual,fundamental,finais (6-9),,,,,,,5.5
2021,Sul,estadual,fundamental,iniciais (1-5),,,,,,,6.3
2021,Sul,estadual,medio,todos (1-4),,,,,,,5.2
2021,Sul,privada,fundamental,finais (6-9),,,,,,,7.5
2021,Sul,privada,fundamental,iniciais (1-5),,,,,,,7.7
2021,Sul,privada,medio,todos (1-4),,,,,,,7.2
2021,Sul,publica,fundamental,finais (6-9),,,,,,,5.6
2021,Sul,publica,fundamental,iniciais (1-5),,,,,,,6.4
2021,Sul,total,fundamental,finais (6-9),,,,,,,5.8
2021,Sul,total,fundamental,iniciais (1-5),,,,,,,6.5
2021,Sul,total,medio,todos (1-4),,,,,,,5.5
