ano,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2017,municipal,fundamental,iniciais (1-5),92.5,0.92569715,220.02,210.89,6.0028358,5.6,5.1
2017,privada,fundamental,finais (6-9),96.5,0.96499377,302.67,293.95,6.6106668,6.4,7
2017,privada,fundamental,iniciais (1-5),98.6,0.98539811,251.82,241.61,7.1692595,7.1,7.2
2017,privada,medio,todos (1-4),95.7,0.95509303,329.66,314.88,6.0333428,5.8,6.7
2017,publica,fundamental,finais (6-9),85.5,0.85661644,251.97,253.77,5.0956669,4.4,4.7
2017,publica,fundamental,iniciais (1-5),93,0.93110186,218.58,209.16,5.9438605,5.5,5.2
2017,publica,medio,todos (1-4),81.4,0.82526267,260.32,260.42,4.2444873,3.5,4.4
2017,total,fundamental,finais (6-9),87.1,0.87279677,260.79,260.76,5.3594999,4.7,5
2017,total,fundamental,iniciais (1-5),94,0.94016182,224.1,214.53,6.1470065,5.8,5.5
2017,total,medio,todos (1-4),83.1,0.83888757,270.63,268.51,4.5102577,3.8,4.7
2019,estadual,fundamental,finais (6-9),90,0.89995557,258.02,256.57,5.2435002,4.7,5.1
2019,estadual,fundamental,iniciais (1-5),96.3,0.96400458,230.88,217.55,6.3313074,6.1,5.9
2019,estadual,medio,todos (1-4),84.5,0.85342127,268.6,272.01,4.5342822,3.9,4.6
2019,municipal,fundamental,finais (6-9),87.3,0.87671322,255.57,254.1,5.1611667,4.5,4.9
2019,municipal,fundamental,iniciais (1-5),93.9,0.93969482,223.89,210.77,6.074789,5.7,5.4
2019,privada,fundamental,finais (6-9),97.1,0.97149771,302.91,293.64,6.6093335,6.4,7.1
2019,privada,fundamental,iniciais (1-5),98.8,0.98839897,253.47,240.71,7.1842332,7.1,7.4
2019,privada,medio,todos (1-4),96.4,0.96670187,334.72,322.1,6.2126436,6,6.8
2019,publica,fundamental,finais (6-9),88.6,0.88778669,257.17,255.67,5.2143335,4.6,5
2019,publica,fundamental,iniciais (1-5),94.3,0.94359839,222.41,209.05,6.0150313,5.7,5.5
2019,publica,medio,todos (1-4),84.7,0.85902554,269.02,272.32,4.5448217,3.9,4.7
2019,total,fundamental,finais (6-9),89.9,0.90043128,265.16,262.29,5.4576669,4.9,5.2
2019,total,fundamental,iniciais (1-5),95.1,0.95172346,227.88,214.63,6.2210512,5.9,5.7
2019,total,medio,todos (1-4),86.1,0.87076688,278.52,279.52,4.7860332,4.2,5
2021,estadual,fundamental,finais (6-9),,,,,,,5.3
2021,estadual,fundamental,iniciais (1-5),,,,,,,6.1
2021,estadual,medio,todos (1-4),,,,,,,4.9
2021,municipal,fundamental,finais (6-9),,,,,,,5.1
2021,municipal,fundamental,iniciais (1-5),,,,,,,5.7
2021,privada,fundamental,finais (6-9),,,,,,,7.3
2021,privada,fundamental,iniciais (1-5),,,,,,,7.5
2021,privada,medio,todos (1-4),,,,,,,7
2021,publica,fundamental,finais (6-9),,,,,,,5.2
2021,publica,fundamental,iniciais (1-5),,,,,,,5.8
2021,publica,medio,todos (1-4),,,,,,,4.9
2021,total,fundamental,finais (6-9),,,,,,,5.5
2021,total,fundamental,iniciais (1-5),,,,,,,6
2021,total,medio,todos (1-4),,,,,,,5.2
